cgdivision,ownergroup,pmnum,pmdescription,jpdescription,nexttrigger,unitstogo,alias,assetdescription,locdescription,metername,lastreading,pmstatus,assetstatus,assetnum,frequency,tolerance,wonum,wodescription,reportdate,lastpmwogenread,dayslate,curjpdescription,unitslate
String,String,String,String,String,Float,Float,String,String,String,String,Float,String,String,String,Float,Float,String,String,DateTime,Float,Integer,String,Integer
TRANSIT,TR-WESTNEY-WO,PM64602,6151 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,101194,10358,6151,2024 - CONVENTIONAL NOVA - 6151,DRT WESTNEY GARAGE,ODOMETER,90836,ACTIVE,OPERATING,1568399,10000,1000,T1072076,6151 - SERVICE INSPECTION,2026-02-07 3:04,90422,5,CONVENTIONAL NOVA - D SERVICE,0
TRANSIT,TR-RALEIGH-WO,PM36481,8529 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,1161758,10360,8529,2012 - CONVENTIONAL NEW FLYER - 8529,DRT RALEIGH GARAGE,ODOMETER,1151398,ACTIVE,OPERATING,1200121,10000,1000,T1072327,8529 - SERVICE INSPECTION,2026-02-11 3:01,1150972,1,CONVENTIONAL NEW FLYER - C SERVICE,0
TRANSIT,TR-WESTNEY-WO,PM36765,8614 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - B SERVICE,988212,10387,8614,2012 - CONVENTIONAL NEW FLYER- 8614,DRT WESTNEY GARAGE,ODOMETER,977825,ACTIVE,OPERATING,1200192,10000,1000,T1072073,8614 - SERVICE INSPECTION,2026-02-07 3:02,977545,5,CONVENTIONAL NEW FLYER - A SERVICE,0
TRANSIT,TR-RALEIGH-WO,PM36053,7100 - SERVICE INSPECTION,CONVENTIONAL NOVA - B SERVICE,533453,471,7100,2018 - CONVENTIONAL NOVA - 7100,DRT RALEIGH GARAGE,ODOMETER,532982,ACTIVE,OPERATING,1200314,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM37065,6118 - SERVICE INSPECTION,CONVENTIONAL NOVA - B SERVICE,412189,498,6118,2020 - CONVENTIONAL NOVA - 6118,DRT RALEIGH GARAGE,ODOMETER,411691,ACTIVE,OPERATING,1200301,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM64463,6132 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,50620,10547,6132,2024 - ELECTRIC NOVA  - 6132,DRT RALEIGH GARAGE,ODOMETER,40073,ACTIVE,OPERATING,1567922,10000,1000,T1071925,6132 - SERVICE INSPECTION,2026-02-05 3:03,40072,7,CONVENTIONAL NOVA - C SERVICE,0
TRANSIT,TR-WESTNEY-WO,PM64610,6153 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,103296,10629,6153,2024 - CONVENTIONAL NOVA - 6153,DRT WESTNEY GARAGE,ODOMETER,92667,ACTIVE,OPERATING,1568343,10000,1000,T1072077,6153 - SERVICE INSPECTION,2026-02-07 3:04,92345,5,CONVENTIONAL NOVA - D SERVICE,0
TRANSIT,TR-WESTNEY-WO,PM64622,6156 - SERVICE INSPECTION,CONVENTIONAL NOVA - D SERVICE,91241,10701,6156,2024 - CONVENTIONAL NOVA - 6156,DRT WESTNEY GARAGE,ODOMETER,80540,ACTIVE,OPERATING,1568403,10000,1000,T1072404,6156 - SERVICE INSPECTION,2026-02-12 3:04,80539,0,CONVENTIONAL NOVA - A SERVICE,0
TRANSIT,TR-RALEIGH-WO,PM36565,8553 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,829295,718,8553,2015 - CONVENTIONAL NOVA LFS- 8553,DRT RALEIGH GARAGE,ODOMETER,828577,ACTIVE,OPERATING,1200142,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM36773,8616 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - B SERVICE,1024975,750,8616,2012 - CONVENTIONAL NEW FLYER- 8616,DRT WESTNEY GARAGE,ODOMETER,1024225,ACTIVE,OPERATING,1200194,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM36501,8534 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - B SERVICE,1144489,10845,8534,2012 - CONVENTIONAL NEW FLYER - 8534,DRT RALEIGH GARAGE,ODOMETER,1133644,ACTIVE,OPERATING,1200126,10000,1000,T1072396,8534 - SERVICE INSPECTION,2026-02-12 3:01,1133644,0,CONVENTIONAL NEW FLYER - A SERVICE,0
TRANSIT,TR-RALEIGH-WO,PM36805,8624 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,1039269,906,8624,2012 - CONVENTIONAL NEW FLYER- 8624,DRT RALEIGH GARAGE,ODOMETER,1038363,ACTIVE,OPERATING,1200202,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM37203,4101 - SERVICE INSPECTION,ADMIN - B SERVICE,159903,5912,4101,2019 - FORD ESCAPE - 4101,DRT RALEIGH GARAGE,ODOMETER,153991,ACTIVE,OPERATING,1200332,5000,1000,T1072399,4101 - SERVICE INSPECTION,2026-02-12 3:02,153991,0,ADMIN - A SERVICE,0
TRANSIT,TR-WESTNEY-WO,PM36469,8526 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - C SERVICE,1096061,952,8526,2012 - CONVENTIONAL NEW FLYER - 8526,DRT WESTNEY GARAGE,ODOMETER,1095109,ACTIVE,OPERATING,1200118,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM36649,8574 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,816359,1022,8574,2017 - CONVENTIONAL NOVA  - 8574,DRT RALEIGH GARAGE,ODOMETER,815337,ACTIVE,OPERATING,1200163,10000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM37384,7105 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,413588,1131,7105,2021 - CONVENTIONAL NOVA - 7105,DRT WESTNEY GARAGE,ODOMETER,412457,ACTIVE,OPERATING,1200442,10000,1000,,,,0,0,,0
TRANSIT,TR-RALEIGH-WO,PM37420,4108 - SERVICE INSPECTION,ADMIN - B SERVICE,94152,1277,4108,2022 - HYUNDAI TUCSON - HYBRID - 4108,DRT RALEIGH GARAGE,ODOMETER,92875,ACTIVE,OPERATING,1200452,5000,1000,,,,0,0,,0
TRANSIT,TR-WESTNEY-WO,PM36821,8708 - SERVICE INSPECTION,ADMIN - A SERVICE,77866,1323,8708,2011 - FORD 350 PICK UP - 8708,DRT WESTNEY GARAGE,ODOMETER,76543,ACTIVE,OPERATING,1200206,5000,1000,,,,0,0,,0
